Decision,Hand Strength,Pot,Already Bet,Call Difference,Players
1,12,250,100,0,6
4,124,550,200,0,2
3,5,375,200,-75,2
2,12,500,325,-200,2
0,12,875,325,50,2
0,12,250,100,0,3
1,12,250,100,0,4
4,12,550,200,0,2
0,12,250,100,0,6
3,108,375,200,-75,2
2,108,500,325,-200,2
0,11,460,150,60,3
3,13,500,100,150,4
2,126,900,350,-100,3
2,126,900,350,-100,3
1,13,250,100,0,4
1,12,250,100,0,5
0,10,250,100,0,6
1,13,475,150,75,3
0,8,460,100,110,4
0,13,475,100,125,6
3,410,400,200,-50,2
2,10,550,350,-200,2
4,11,550,350,-200,2
4,11,687,350,-200,2
0,8,475,150,75,3
0,9,250,100,0,4
0,7,250,100,0,6
0,10,250,150,-50,2
0,6,670,100,110,6
1,13,250,100,0,5
0,9,975,200,400,3
0,11,537,100,187,4
0,12,250,100,0,5
0,10,250,150,-50,2
1,408,250,100,0,3
0,11,250,100,0,5
3,9,600,200,-50,3
2,118,750,350,-200,3
2,118,750,350,-200,3
2,118,750,350,-200,3
0,4,750,200,25,4
1,13,250,100,0,3
0,12,450,100,100,6
3,9,375,200,-75,2
2,110,500,325,-200,2
0,110,826,325,1,2
0,403,700,100,125,5
1,13,250,100,0,4
0,4,250,100,0,6
0,5,450,150,50,3
0,10,460,100,110,5
1,13,250,100,0,5
1,13,250,100,0,6
3,13,460,150,60,3
2,118,620,310,-100,2
3,118,780,310,-100,2
2,118,940,470,-260,2
3,118,1190,470,-220,2
2,118,1440,720,-470,2
0,118,2780,720,620,2
1,13,250,100,0,3
3,13,1400,250,650,2
3,321,2750,900,0,2
4,321,3450,1600,-700,2
1,13,250,100,0,4
0,9,250,100,0,5
0,3,1050,200,450,3
0,10,475,100,125,4
3,410,450,100,100,5
2,120,650,300,-100,2
3,120,1475,300,525,2
1,124,250,100,0,5
4,250,650,250,0,2
0,10,250,100,0,6
1,411,460,150,60,3
4,108,1900,765,60,2
2,108,3650,765,60,2
2,108,3650,765,60,2
0,108,11075,765,6660,2
0,405,460,100,110,5
0,10,250,100,0,6
3,13,500,200,50,2
3,102,1000,450,-200,2
2,102,1250,700,-450,2
0,6,475,150,75,3
1,12,250,100,0,4
4,12,550,200,0,2
0,9,250,100,0,5
0,406,975,200,400,3
3,102,450,150,50,3
2,210,600,300,-100,2
2,210,600,300,-100,2
3,210,850,300,-50,2
2,210,1100,550,-300,2
0,9,250,100,0,3
0,5,250,100,0,5
0,10,475,150,75,3
1,13,250,100,0,4
0,13,1400,200,750,2
0,10,250,100,0,6
2,10,300,200,-200,2
2,11,300,200,-200,2
2,116,300,200,-200,2
1,236,400,200,-100,2
0,7,250,100,0,3
0,13,250,100,0,5
0,10,537,150,137,3
0,10,250,100,0,4
1,108,250,100,0,5
1,13,250,100,0,6
4,112,550,200,0,2
3,112,1425,200,675,2
3,112,4750,875,1775,2
3,112,13650,3525,2725,2
3,4,425,250,-125,2
2,11,550,375,-250,2
0,6,250,150,-50,2
0,8,250,100,0,4
0,8,250,100,0,6
0,11,670,150,60,4
0,405,460,100,110,5
0,8,250,100,0,6
1,406,475,150,75,3
3,406,4225,1250,1175,2
2,104,5325,2350,75,2
0,7,475,100,125,4
1,410,250,100,0,4
4,11,650,250,0,2
2,11,925,250,0,2
2,13,925,250,0,2
0,10,250,100,0,6
1,13,525,150,125,3
0,9,250,100,0,3
1,9,250,100,0,4
0,5,250,100,0,6
3,12,400,200,-50,2
2,13,550,350,-200,2
1,11,250,150,-50,2
4,122,550,250,-50,2
1,9,250,100,0,3
0,9,1525,225,825,2
1,12,250,100,0,4
0,3,250,100,0,5
0,8,1325,200,750,3
1,13,250,150,-50,2
2,13,550,250,-50,2
2,13,550,250,-50,2
2,116,550,250,-50,2
1,12,300,150,-50,3
0,11,460,100,110,5
0,10,250,100,0,6
1,13,250,150,-50,2
4,110,650,300,-50,2
2,110,900,300,-50,2
3,110,1650,300,450,2
2,110,2400,1050,-300,2
1,120,300,150,-50,3
1,120,1850,250,950,3
1,13,250,100,0,4
0,11,250,100,0,5
3,8,375,200,-75,2
2,104,500,325,-200,2
4,220,500,325,-200,2
0,5,750,150,100,4
1,12,250,100,0,3
2,116,700,250,0,2
4,116,700,250,0,2
0,8,250,100,0,5
0,3,975,200,400,3
1,116,525,150,125,3
0,11,250,100,0,4
0,8,250,100,0,6
3,410,400,200,-50,2
2,120,550,350,-200,2
2,120,550,350,-200,2
4,232,550,350,-200,2
1,12,250,100,0,3
0,12,1425,225,725,2
1,411,450,100,100,5
4,12,1612,581,100,2
2,12,2368,581,100,2
4,108,2368,581,100,2
0,5,250,100,0,6
0,5,450,150,50,3
0,104,450,100,100,5
1,406,250,100,0,5
0,7,1450,200,850,3
1,116,250,150,-50,2
2,116,550,250,-50,2
4,116,550,250,-50,2
4,116,750,250,-50,2
0,13,250,100,0,4
1,410,250,100,0,5
0,11,400,200,-50,2
1,10,250,100,0,3
0,10,1850,225,975,3
1,9,250,100,0,4
1,106,250,100,0,5
3,106,1150,225,450,2
2,309,1600,675,0,2
1,309,2225,675,0,2
0,7,250,100,0,6
3,5,400,200,-50,2
2,13,550,350,-200,2
0,7,500,150,100,3
0,403,1260,100,700,6
1,13,250,100,0,6
4,13,600,225,0,2
1,122,375,200,-75,2
0,4,1225,150,600,4
0,9,450,100,100,5
0,104,250,100,0,6
0,10,250,150,-50,2
1,7,250,100,0,3
4,13,550,200,0,2
0,12,250,100,0,5
0,6,400,200,-50,2
0,11,450,100,100,4
0,11,250,100,0,5
0,12,1450,200,850,3
3,408,460,150,60,3
2,13,730,310,-100,3
2,13,730,310,-100,3
2,13,730,310,-100,3
1,405,460,100,110,4
